name;rating;min_price;rating.quality_of_sleep;rating.location;rating.service;rating.cleanness;rating.meal;lon;lat;id
На Таежной;8;4000;8.9;8.9;8.9;8.5;0;107.34529;53.18887;559467_101hotels
Ольхон Шоколад;9.1;6000;9.1;9.4;8.9;9.6;0;107.36171;53.19791;559468_101hotels
Пляжный;9.7;7500;10;10;9.8;10;0;107.357;53.197709;559469_101hotels
Светлана;8.5;2000;7.8;8.1;7.9;8.9;0;107.33954;53.18683;559470_101hotels
HELLO BAIKAL;8.5;2100;7.4;9.1;7.2;8.5;0;107.33068;53.19059;559471_101hotels
У Михалыча;8.9;3150;8.7;7.8;8.7;8.7;0;107.33068;53.1906;559472_101hotels
Усадьба Капорова;9.1;2677.5;8.3;8.9;10;10;0;107.31607;53.18289;559473_101hotels
Усадьба Копылова;9;3000;9.3;9.3;9.1;9.1;7.8;107.346889;53.191098;559474_101hotels
Усадьба Никиты Бенчарова;9.1;2000;9.1;10;9.4;9.1;0;107.34057;53.19856;559475_101hotels
Baikal House;9.4;3500;9.1;9.8;8.9;9.3;0;107.34294;53.19346;570577_101hotels
Baikal-Babr;10;4000;10;10;9.8;10;0;107.343;53.19361064;570578_101hotels
Nice houses on Baikal;9.7;3200;9.3;9.1;8.7;9.8;0;107.33781;53.19137;570580_101hotels
Pushkinskiy Guest House;7.2;2160;6.8;8.9;7.2;7.9;0;107.34196;53.19607;570582_101hotels
Лилия;9.3;15000;9.1;9.1;9.1;9.8;0;107.35068;53.18879;570585_101hotels
На улице Байкальская 81;8.5;3400;8.1;7.6;8.1;8.7;0;107.35317;53.19422;570587_101hotels
Ольхонский лес;0;3000;0;0;0;0;0;107.33068;53.1906;570589_101hotels
Big house on Olkhon island;0;30400;0;0;0;0;0;107.33781;53.19137;609190_101hotels
Хужир;7.9;2000;8.1;7.9;7.8;8.9;0;107.35565;53.19535;609191_101hotels
Guest house Nadezhda;8.7;3800;9.1;8.9;8.3;9.3;0;107.3481;53.18963;609193_101hotels
Геннадия Малышкина;7.5;3500;8.3;9.3;7.9;6.8;0;107.34513;53.192911;609194_101hotels
Guesthouse for a rest;9.1;2500;9.3;10;9.4;8.9;0;107.34178;53.19868;609195_101hotels
Home-Olkhon;9.8;5000;10;9.4;10;10;0;107.35909;53.193763;609196_101hotels
LakesideBaikal;9.4;5500;9.3;9.1;8.7;9.6;0;107.4245;53.22877;609197_101hotels
Olkhon Village Kharantsy;0;12000;0;0;0;0;0;107.42972;53.22282;609199_101hotels
Olkhon_chill_apartments;0;6412.5;0;0;0;0;0;107.35063;53.20133;609200_101hotels
Sunrise;9.2;3400;9.6;9.8;9.4;9.8;0;107.33771;53.196709;609201_101hotels
ViPhouse Olkhon;0;8330;0;0;0;0;0;107.34135;53.189954;609202_101hotels
Shamanka;9.4;5750;9.4;9.4;9.3;9.6;9.4;107.352809;53.199708;609203_101hotels
На Байкале о ОЛЬХОН SAHARA;0;0;0;0;0;0;0;107.33068;53.1906;609205_101hotels
Малашкина;6.9;4000;7;8.7;6.6;6.8;0;107.33068;53.1906;609208_101hotels
На Фестивальная 39 А;9.4;3000;10;9.6;9.4;10;0;107.34177;53.1877;609210_101hotels
Удачная 8;9.3;4600;8.5;9.6;9.4;10;0;107.42059;53.22575;609212_101hotels
ЭтноДом Байкал;9.7;0;9.8;9.4;8.5;9.8;0;107.33768;53.19253;609213_101hotels
Lake view Little Chalet;0;0;0;0;0;0;0;107.33509;53.19723;625872_101hotels
На Солнечной, д. 8;9.7;3000;9.6;9.4;9.8;9.6;0;107.34856;53.19514;625877_101hotels
На Фестивальной;0;2137.5;0;0;0;0;0;107.34172;53.18785;625881_101hotels
Ольгина Усадьба;0;1000;0;0;0;0;0;107.34738;53.19098;625882_101hotels
ХОТЭЙ;0;0;0;0;0;0;0;107.360462;53.194583;650984_101hotels
ON OLkhON;9.7;4000;9.6;9.4;9.8;10;9.8;107.18732;53.143993;651574_101hotels
Baikal Terra;9.1;6500;8.9;9.4;9.3;9.1;9.3;107.349521;53.200841;651994_101hotels
Olkhon Inn;9.3;7000;9.6;9.6;9.8;9.3;9.4;107.337879;53.193769;653669_101hotels
Сердце Ольхона;8.7;8000;10;10;10;8.7;10;107.343349;53.198753;661122_101hotels
Guest House on Molodyozhnaya st.;9.1;4500;8.9;9.1;9.3;9.4;9.3;107.356;53.19277463;15193_101hotels
Ермак;8.5;1600;7.9;8.7;8.1;8.3;0;102.16104;54.1034;411666_101hotels
1-комн квартира Люкс;8.5;2500;0;0;0;0;0;102.154555;54.112098;490440_101hotels
На Солнечной 3;0;2100;0;0;0;0;0;102.15558;54.11111;490442_101hotels
Юбилейная;7.7;1500;6.8;7.9;6.8;8.3;0;102.15832;54.10951;490445_101hotels
Кедр;8.2;4200;9.3;9.6;8.5;9.3;10;102.13316;54.10877;490748_101hotels
Саянск;0;700;0;0;0;0;0;102.152408;54.10977;650821_101hotels
Прасковья;8.9;1200;10;10;10;10;10;102.16542;54.110464;651246_101hotels
Аршан;8.9;1850;9.1;9.6;8.9;9.1;8.7;103.72028;51.663591;559429_101hotels
Hotel Kurshavel;8.9;800;8.7;8.7;9.1;9.4;8.7;104.14513;51.505747;511615_101hotels
Космос;9.3;3000;9.3;9.1;9.3;9.1;9.3;104.15183;51.52181;495572_101hotels
Маргобай;9;1250;9.3;9.4;9.4;9.4;9.6;104.136642;51.524412;650957_101hotels
Турбаза Байкал;8.9;3780;10;10;10;10;10;104.038;51.55044393;653555_101hotels
Домашний очаг;8.9;2500;10;10;10;10;10;104.132771;51.523443;664549_101hotels
Delight;8.7;2100;10;10;10;10;0;103.71447;51.650639;658141_101hotels
Соболинка;9.4;2677.5;9.4;9.3;9.4;9.4;9.4;104.12176;51.513931;6479_101hotels
Белый Соболь;9.3;3800;9.3;9.6;9.4;9.4;9.6;104.122;51.5147;3365_101hotels
Гранд Байкал;9.3;3150;9.1;9.6;9.3;9.3;9.1;104.12128;51.509559;7628_101hotels
Прибой;9.1;1300;9.1;8.9;8.7;9.1;7.9;104.13441;51.52550677;7350_101hotels
Жемчужина Байкала;9.6;24500;9.8;8.9;9.8;10;10;103.91852;51.60353;79011_101hotels
BaikalSKI Hostel;9.4;2430;9.4;9.8;9.4;9.4;9.4;104.15032;51.522384;6480_101hotels
Байкальская заимка;6.8;1800;4.4;7.2;5.9;5.9;4.4;103.90449;51.605756;79620_101hotels
Inn Yut+;8.1;1800;8.7;8.7;8.1;8.1;8.1;104.132;51.52155818;10630_101hotels
