Unnamed: 0,name,url,id
93,OPÇÃO PUB,https://restaurantguru.ru/OPCAO-PUB-Russia,93
94,Кафе Юрта Бугульдейка,https://restaurantguru.ru/Kafe-Yurta-Buguldeyka-Russia,94
95,кафе «Буузы»,https://restaurantguru.ru/Buuzy-cafe-Russia,95
96,Транзит,https://restaurantguru.ru/Tranzit-Russia-20,96
97,Кочевник,https://restaurantguru.ru/Kochevnik-Russia-9,97
98,Алтан Сэргэ Байкал,https://restaurantguru.ru/Altan-Serge-Russia,98
99,Guest House Bayar,https://restaurantguru.ru/Guest-House-Bayar-Russia,99
100,Бригантина,https://restaurantguru.ru/Brigantina-Russia-5,100
101,Пучина,https://restaurantguru.ru/Puchina-Elantsy,101
102,Кафе Позная,https://restaurantguru.ru/Kafe-Poznaya-Russia-2,102
103,Кафе Че Гевара,https://restaurantguru.ru/Kafe-Che-Gevara-Ust-Ordynsky,103
104,Ешь-ка,https://restaurantguru.ru/Yesh-Ka-Russia,104
105,Сластена,https://restaurantguru.ru/Slastena-Ust-Ordynsky,105
106,Чайка,https://restaurantguru.ru/Chaika-Russia-7,106
107,Кафе Деревушка,https://restaurantguru.ru/Kafe-Derevushka-Russia,107
108,Столовая,https://restaurantguru.ru/Stolovaya-Elantsy,108
109,Гостиый дворик,https://t.restaurantguru.com/new_restaurants?id=102920855,109
110,Самовар,https://restaurantguru.ru/Samovar-Russia-6,110
111,Kfg,https://restaurantguru.ru/Kfg-Russia,111
112,Кафе,https://restaurantguru.ru/Kafe-Russia-1073,112
113,Байкал седьмой колодец,https://restaurantguru.ru/Baykal-Sedmoy-Kolodets-Russia,113
114,Смак,https://restaurantguru.ru/Smak-Russia-24,114
115,Кафе,https://restaurantguru.ru/Kafe-Russia-1075,115
